SampleID,rBC,fBC,SeqBatch,StudyID,DNAplate,DNAwell,SampleType,Site,Date,WOY,HostSpecies
bri160693,SB705,SA504,1.2,bri16,28,D05,sample,ELY,7/26/16,31,EPFU
bri160694,SB706,SA504,1.2,bri16,28,D06,sample,ELY,7/26/16,31,EPFU
bri160695,SB707,SA504,1.2,bri16,28,D07,sample,ELY,7/26/16,31,MYLE
bri160696,SB708,SA504,1.2,bri16,28,D08,sample,ELY,7/27/16,31,EPFU
bri160697,SB709,SA504,1.2,bri16,28,D09,sample,ELY,7/27/16,31,EPFU
bri160698,SB710,SA504,1.2,bri16,28,D10,sample,ELY,7/27/16,31,MYLE
bri160699,SB711,SA504,1.2,bri16,28,D11,sample,ELY,7/27/16,31,MYLE
bri160700,SB712,SA504,1.2,bri16,28,D12,sample,ELY,7/27/16,31,EPFU
bri160701,SB701,SA505,1.2,bri16,28,E01,sample,ELY,7/27/16,31,EPFU
bri160702,SB702,SA505,1.2,bri16,28,E02,sample,ELY,7/27/16,31,EPFU
bri160703,SB703,SA505,1.2,bri16,28,E03,sample,ELY,7/27/16,31,MYLE
bri160704,SB704,SA505,1.2,bri16,28,E04,sample,ELY,7/27/16,31,EPFU
bri160705,SB706,SA505,1.2,bri16,28,E06,sample,ELY,7/27/16,31,EPFU
bri160706,SB707,SA505,1.2,bri16,28,E07,sample,ELY,7/27/16,31,EPFU
bri160707,SB708,SA505,1.2,bri16,28,E08,sample,ELY,7/27/16,31,EPFU
bri160708,SB709,SA505,1.2,bri16,28,E09,sample,ELY,7/27/16,31,EPFU
bri160709,SB710,SA505,1.2,bri16,28,E10,sample,ELY,7/27/16,31,EPFU
bri160710,SB711,SA505,1.2,bri16,28,E11,sample,ELY,7/27/16,31,MYLE
bri160711,SB712,SA505,1.2,bri16,28,E12,sample,ELY,7/27/16,31,MYLE
bri160712,SB701,SA506,1.2,bri16,28,F01,sample,ELY,7/27/16,31,MYLE
bri160713,SB702,SA506,1.2,bri16,28,F02,sample,ELY,7/27/16,31,EPFU
bri160714,SB703,SA506,1.2,bri16,28,F03,sample,ELY,7/27/16,31,MYLE
