windowA,windowB,pvalue,BHadjusted_pvalue,Metric,Windowgroup
4CNA,4HOL,0,0.002,PD,window456
4CNA,4HOP,0.183,0.355,PD,window456
4CNA,4MAP,0.758,0.87,PD,window456
4CNA,4PEN,0.009,0.054,PD,window456
4CNA,5CNA,0.414,0.608,PD,window456
4CNA,5EPS,0.127,0.286,PD,window456
4CNA,5FOX,0.131,0.286,PD,window456
4CNA,5HOL,0.001,0.011,PD,window456
4CNA,5HOP,0.009,0.056,PD,window456
4CNA,5MAP,0.385,0.573,PD,window456
4CNA,5PEN,0,0.005,PD,window456
4CNA,6CNA,0.009,0.055,PD,window456
4CNA,6EPS,0.108,0.258,PD,window456
4CNA,6FOX,0.497,0.661,PD,window456
4CNA,6HOL,0,0,PD,window456
4CNA,6HOP,0.127,0.284,PD,window456
4CNA,6MAP,0.11,0.258,PD,window456
4CNA,6PEN,0,0.007,PD,window456
4EPS,4FOX,0.009,0.053,PD,window456
4EPS,4HOL,0.001,0.013,PD,window456
4EPS,4HOP,0.441,0.617,PD,window456
4EPS,4MAP,0.237,0.433,PD,window456
4EPS,4PEN,0.045,0.147,PD,window456
4EPS,5CNA,0.896,0.946,PD,window456
4EPS,5EPS,0.415,0.606,PD,window456
4EPS,5FOX,0.436,0.623,PD,window456
4EPS,5HOL,0.01,0.055,PD,window456
4EPS,5HOP,0.055,0.161,PD,window456
4EPS,5MAP,0.9,0.945,PD,window456
4EPS,5PEN,0.003,0.027,PD,window456
4EPS,6CNA,0.042,0.142,PD,window456
4EPS,6EPS,0.282,0.481,PD,window456
4EPS,6FOX,0.888,0.946,PD,window456
4EPS,6HOL,0,0.002,PD,window456
4EPS,6HOP,0.428,0.615,PD,window456
4EPS,6MAP,0.347,0.536,PD,window456
4EPS,6PEN,0.003,0.024,PD,window456
4FOX,4HOL,0.842,0.921,PD,window456
4FOX,4HOP,0.115,0.266,PD,window456
4FOX,4MAP,0,0.004,PD,window456
4FOX,4PEN,0.481,0.66,PD,window456
4FOX,5CNA,0.015,0.069,PD,window456
4FOX,5EPS,0.046,0.15,PD,window456
4FOX,5FOX,0.038,0.138,PD,window456
4FOX,5HOL,0.338,0.538,PD,window456
4FOX,5HOP,0.232,0.428,PD,window456
4FOX,5MAP,0.01,0.055,PD,window456
4FOX,5PEN,0.573,0.712,PD,window456
4FOX,6CNA,0.496,0.663,PD,window456
4FOX,6EPS,0.224,0.417,PD,window456
4FOX,6FOX,0.043,0.145,PD,window456
4FOX,6HOL,0.994,0.994,PD,window456
4FOX,6HOP,0.039,0.139,PD,window456
4FOX,6MAP,0.08,0.213,PD,window456
4FOX,6PEN,0.671,0.782,PD,window456
4HOL,4HOP,0.052,0.159,PD,window456
4HOL,4MAP,0,0,PD,window456
4HOL,4PEN,0.315,0.525,PD,window456
4HOL,5CNA,0.002,0.023,PD,window456
4HOL,5EPS,0.011,0.058,PD,window456
4HOL,5FOX,0.008,0.054,PD,window456
4HOL,5HOL,0.156,0.323,PD,window456
4HOL,5HOP,0.101,0.251,PD,window456
4HOL,5MAP,0.001,0.014,PD,window456
4HOL,5PEN,0.352,0.54,PD,window456
4HOL,6CNA,0.328,0.534,PD,window456
4HOL,6EPS,0.128,0.283,PD,window456
4HOL,6FOX,0.016,0.074,PD,window456
4HOL,6HOL,0.788,0.881,PD,window456
4HOL,6HOP,0.008,0.054,PD,window456
4HOL,6MAP,0.026,0.11,PD,window456
4HOL,6PEN,0.782,0.879,PD,window456
4HOP,4MAP,0.088,0.232,PD,window456
4HOP,4PEN,0.334,0.539,PD,window456
4HOP,5CNA,0.522,0.68,PD,window456
4HOP,5EPS,0.893,0.947,PD,window456
4HOP,5FOX,0.855,0.926,PD,window456
4HOP,5HOL,0.289,0.49,PD,window456
4HOP,5HOP,0.487,0.663,PD,window456
4HOP,5MAP,0.492,0.662,PD,window456
4HOP,5PEN,0.163,0.332,PD,window456
4HOP,6CNA,0.322,0.529,PD,window456
4HOP,6EPS,0.765,0.869,PD,window456
4HOP,6FOX,0.613,0.744,PD,window456
4HOP,6HOL,0.042,0.144,PD,window456
4HOP,6HOP,0.863,0.93,PD,window456
4HOP,6MAP,0.983,0.997,PD,window456
4HOP,6PEN,0.053,0.158,PD,window456
4MAP,4PEN,0.001,0.015,PD,window456
4MAP,5CNA,0.212,0.397,PD,window456
4MAP,5EPS,0.032,0.121,PD,window456
4MAP,5FOX,0.031,0.12,PD,window456
4MAP,5HOL,0,0,PD,window456
4MAP,5HOP,0,0.007,PD,window456
4MAP,5MAP,0.168,0.332,PD,window456
4MAP,5PEN,0,0,PD,window456
