SampleID,Site,rBC,fBC,SeqBatch,StudyID,DNAplate,DNAwell,SampleType,Date,WOY,HostSpecies,SiteLat,SiteLong,newDate
bri160607,ELY,SB704,SB506,7.2,bri16,45,F04,sample,8/30/16,36,MYLE,NA,NA,NA
bri160608,ELY,SB705,SB506,7.2,bri16,45,F05,sample,8/30/16,36,MYLE,NA,NA,NA
bri160609,ELY,SB707,SB506,7.2,bri16,45,F07,sample,8/31/16,36,MYLE,NA,NA,NA
bri160610,ELY,SB709,SB506,7.2,bri16,45,F09,sample,8/31/16,36,MYLE,NA,NA,NA
bri160611,ELY,SB710,SB506,7.2,bri16,45,F10,sample,9/2/16,36,MYLE,NA,NA,NA
bri160612,ELY,SB711,SB506,7.2,bri16,45,F11,sample,9/7/16,37,MYLE,NA,NA,NA
bri160659,ELY,SB703,SA506,7.1,bri16,33,F03,sample,7/23/16,30,MYLE,NA,NA,NA
bri160660,ELY,SB704,SA506,7.1,bri16,33,F04,sample,7/23/16,30,MYLU,NA,NA,NA
bri160667,ELY,SB701,SA502,1.2,bri16,28,B01,sample,7/24/16,30,EPFU,NA,NA,NA
bri160668,ELY,SB703,SA502,1.2,bri16,28,B03,sample,7/24/16,30,EPFU,NA,NA,NA
bri160669,ELY,SB704,SA502,1.2,bri16,28,B04,sample,7/24/16,30,EPFU,NA,NA,NA
bri160670,ELY,SB705,SA502,1.2,bri16,28,B05,sample,7/24/16,30,EPFU,NA,NA,NA
bri160671,ELY,SB706,SA502,1.2,bri16,28,B06,sample,7/24/16,30,MYLE,NA,NA,NA
bri160672,ELY,SB707,SA502,1.2,bri16,28,B07,sample,7/24/16,30,MYLE,NA,NA,NA
bri160673,ELY,SB708,SA502,1.2,bri16,28,B08,sample,7/24/16,30,EPFU,NA,NA,NA
bri160674,ELY,SB709,SA502,1.2,bri16,28,B09,sample,7/24/16,30,MYLU,NA,NA,NA
bri160675,ELY,SB710,SA502,1.2,bri16,28,B10,sample,7/25/16,31,EPFU,NA,NA,NA
bri160676,ELY,SB711,SA502,1.2,bri16,28,B11,sample,7/25/16,31,EPFU,NA,NA,NA
bri160677,ELY,SB712,SA502,1.2,bri16,28,B12,sample,7/25/16,31,EPFU,NA,NA,NA
bri160678,ELY,SB701,SA503,1.2,bri16,28,C01,sample,7/25/16,31,MYLE,NA,NA,NA
bri160679,ELY,SB702,SA503,1.2,bri16,28,C02,sample,7/25/16,31,EPFU,NA,NA,NA
bri160680,ELY,SB704,SA503,1.2,bri16,28,C04,sample,7/25/16,31,EPFU,NA,NA,NA
bri160681,ELY,SB705,SA503,1.2,bri16,28,C05,sample,7/25/16,31,EPFU,NA,NA,NA
bri160682,ELY,SB706,SA503,1.2,bri16,28,C06,sample,7/25/16,31,EPFU,NA,NA,NA
bri160683,ELY,SB707,SA503,1.2,bri16,28,C07,sample,7/25/16,31,EPFU,NA,NA,NA
bri160684,ELY,SB708,SA503,1.2,bri16,28,C08,sample,7/25/16,31,MYLE,NA,NA,NA
